provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
COMMUNITY MEMORIAL HEALTH CENTER,IA,51346,Non profit - Corporation,68,55.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,4,2.34602,1.59575,3.94176,0.59872,1,2,1,0,1,1,2
AASE HAUGEN HOME,IA,52101,For profit - Corporation,104,61.5,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,3,5,2,2.6451,1.10793,3.75303,0.24714,1,3,2,2,6,1,7
NORWALK NURSING AND REHABILITATION CENTER,IA,50211,For profit - Corporation,45,39.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,2.38997,1.29219,3.68216,0.36197,0,2,0,0,2,1,3
ODEBOLT SPECIALTY CARE,IA,51458,Non profit - Corporation,38,29.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,1.68866,1.33636,3.02502,0.45983,0,1,1,1,1,0,1
ROCK RAPIDS HEALTH CENTRE,IA,51246,For profit - Corporation,44,22.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,0.88896,1.12108,2.01004,0.22354,2,4,63,11,3,2,5
MERCYONE NORTH IOWA MEDICAL SERVICES,IA,50401,Non profit - Church related,22,15,Medicare and Medicaid,Y,N,,N,N,None,Yes,5,3,5,5,2.01059,5.64786,7.65845,4.535,,0,4,2,0,0,0
RED OAK REHAB AND CARE CENTER,IA,51566,For profit - Corporation,58,25.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,2.06465,1.20844,3.27309,0.31106,1,2,1,0,2,0,2
GOOD SAMARITAN SOCIETY - INDIANOLA,IA,50125,Non profit - Corporation,131,73.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.24077,1.22929,3.47006,0.35084,0,1,6,5,4,0,4
GOOD SAMARITAN SOCIETY - WEST UNION,IA,52175,Non profit - Corporation,71,43.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.0331,1.44939,3.48249,0.6907,,0,1,0,1,0,1
AZRIA HEALTH WINTERSET,IA,50273,For profit - Corporation,70,33.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,2,3,1,2.12046,1.43385,3.5543,0.28834,2,2,8,7,1,1,2
GOOD SAMARITAN SOCIETY - VILLISCA,IA,50864,Non profit - Corporation,46,33.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,1.29995,1.49401,2.79396,0.46037,0,0,2,1,0,0,0
GOOD SAMARITAN SOCIETY - ALGONA,IA,50511,Non profit - Corporation,90,64.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,2.0767,0.98362,3.06031,0.25584,0,0,0,0,2,0,2
GOOD SAMARITAN SOCIETY - RED OAK,IA,51566,For profit - Corporation,72,38.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,3,1.82568,1.12674,2.95242,0.3424,0,0,6,0,1,0,1
GOOD SAMARITAN SOCIETY - ESTHERVILLE,IA,51334,Non profit - Corporation,90,47.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,3,1.70393,1.30198,3.00591,0.42202,0,0,4,0,1,0,1
DUNLAP SPECIALTY CARE,IA,51529,Non profit - Corporation,57,33.7,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,4,1,1.78798,1.24126,3.02924,0.38433,2,3,30,4,4,1,5
GRANDVIEW HEALTH CARE CENTER,IA,50530,For profit - Individual,46,26.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,1,2.33362,1.14653,3.48016,0.19237,1,1,4,1,2,1,3
CEDAR FALLS HEALTH CARE CENTER,IA,50613,For profit - Corporation,82,40.7,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,1,1,1.44953,0.84006,2.28958,0.25019,,13,77,11,2,0,2
IOWA CITY REHAB & HEALTH CARE,IA,52245,For profit - Corporation,89,57.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.11772,0.19353,1.31126,0.06791,3,2,45,7,1,0,1
CRESTON SPECIALTY CARE,IA,50801,Non profit - Corporation,74,64.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.62123,1.24096,2.86219,0.31323,0,2,5,0,1,1,2
AZRIA HEALTH PARK PLACE,IA,50316,For profit - Limited Liability company,81,45.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,3,2.81836,1.18084,3.99921,0.32267,1,2,39,1,0,0,0
WESTMONT HEALTHCARE COMMUNITY,IA,51546,For profit - Corporation,46,21.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,2.23459,1.4727,3.70729,0.60344,1,0,2,2,1,0,1
KEOSAUQUA HEALTH CARE CENTER,IA,52565,For profit - Corporation,60,54.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,2,1,2.23368,0.74339,2.97708,0.20585,1,0,0,0,3,0,3
GOOD SAMARITAN SOCIETY - LEMARS,IA,51031,Non profit - Corporation,70,50.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,1.97202,1.41388,3.3859,0.39271,0,2,2,0,1,0,1
MORNINGSIDE CARE CENTER,IA,51445,For profit - Limited Liability company,64,1.9,Medicare and Medicaid,N,N,,N,N,None,Yes,1,2,1,1,4.42848,5.796,10.22448,2.07122,0,0,4,0,1,0,1
GOOD SAMARITAN SOCIETY - HOLSTEIN,IA,51025,Non profit - Church related,60,48.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,2,1.69236,1.45769,3.15005,0.35603,1,0,0,0,0,0,0
GRANGER NURSING & REHABILITATION CENTER,IA,50109,For profit - Limited Liability company,67,52.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.87128,0.76458,2.63586,0.33333,2,4,20,0,1,0,1
SOUTHRIDGE SPECIALTY CARE,IA,50158,Non profit - Corporation,82,75.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,1.91339,0.93061,2.844,0.14291,1,1,11,0,0,0,0
GOOD SAMARITAN SOCIETY - SAINT ANSGAR,IA,50472,Non profit - Corporation,42,36.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.5958,1.2202,2.816,0.4564,0,0,1,0,0,0,0
GOOD SAMARITAN SOCIETY - OTTUMWA,IA,52501,Non profit - Corporation,146,105.2,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,2,3,3,2.20874,1.21495,3.42369,0.7286,0,3,7,3,3,0,3
GOOD SAMARITAN SOCIETY - FOREST CITY,IA,50436,Non profit - Corporation,56,36.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.17912,1.29019,3.46931,0.34797,0,0,0,3,1,0,1
LANTERN PARK SPECIALTY CARE,IA,52241,Non profit - Corporation,90,78.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,1.78533,1.23591,3.02125,0.31581,1,4,16,0,0,0,0
LYON SPECIALTY CARE,IA,51246,Non profit - Corporation,45,37.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,1.6249,1.01599,2.64089,0.60198,1,0,2,0,0,0,0
CARING ACRES NURSING & REHAB CENTER,IA,50020,For profit - Limited Liability company,46,34.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,3,1.95416,1.04296,2.99711,0.47289,0,0,8,3,3,0,3
EAGLE POINT HEALTH CARE CENTER,IA,52732,For profit - Corporation,90,52.4,Medicare and Medicaid,N,N,,N,N,None,Yes,2,3,4,1,1.95854,1.03747,2.99601,0.46081,0,0,0,0,0,0,0
LAURENS CARE CENTER,IA,50554,Non profit - Corporation,38,30.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,3,2.53167,1.51793,4.0496,0.37634,0,0,4,0,3,0,3
AZRIA HEALTH PRAIRIE RIDGE,IA,52637,For profit - Individual,62,42.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,2,2.03052,1.53401,3.56453,0.52832,2,2,3,1,1,0,1
CORYDON SPECIALTY CARE,IA,50060,Non profit - Corporation,71,62.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.87977,0.81342,2.6932,0.21281,0,5,22,1,3,0,3
RIDGEWOOD SPECIALTY CARE,IA,52501,Non profit - Corporation,60,53.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,1.99185,0.8808,2.87265,0.35098,0,1,22,0,2,1,3
MOUNT AYR HEALTH CARE CENTER,IA,50854,For profit - Corporation,46,28.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,1.88209,1.08435,2.96644,0.56334,,0,0,1,1,0,1
CENTERVILLE SPECIALTY CARE,IA,52544,Non profit - Corporation,67,45.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.00864,1.05408,3.06272,0.27603,2,2,6,0,4,0,4
MANLY SPECIALTY CARE,IA,50456,Non profit - Corporation,43,41.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,3,1,1.87094,1.24281,3.11375,0.26585,,0,4,0,0,0,0
BIRKWOOD VILLAGE OF FORT MADISON,IA,52627,For profit - Partnership,80,62.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,2.35637,1.73619,4.09256,0.39246,0,1,3,0,0,0,0
DUBUQUE SPECIALTY CARE,IA,52001,Non profit - Corporation,84,64.6,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,4,2,1.8531,1.01786,2.87096,0.30308,1,2,4,4,3,1,4
OAKLAND MANOR,IA,51560,For profit - Corporation,61,36.2,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,2,2,2.5754,1.11105,3.68645,0.28975,0,0,61,13,4,2,6
REGENCY PARK NURSING & REHAB CENTER OF CARROLL,IA,51401,For profit - Corporation,46,30.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.34811,1.29982,3.64793,0.45249,,2,2,3,2,0,2
FRIENDSHIP HOME ASSOCIATION,IA,50025,Non profit - Corporation,54,41.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.63586,1.31121,3.94707,0.3771,0,2,1,2,1,0,1
REGENCY PARK NURSING & REHAB CENTER OF JEFFERSON,IA,50129,For profit - Limited Liability company,46,43.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,2,2.37069,1.03854,3.40923,0.2989,3,0,4,1,1,0,1
PARKVIEW MANOR,IA,52356,For profit - Partnership,62,46.9,Medicare and Medicaid,N,N,,N,N,None,Yes,2,2,4,4,3.08541,0.809,3.89441,0.55381,,1,12,3,3,0,3
LENOX CARE CENTER,IA,50851,For profit - Partnership,46,20.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.98309,1.22104,3.20414,0.83557,1,0,1,0,1,0,1
GOOD SAMARITAN SOCIETY - MANSON,IA,50563,Non profit - Church related,42,35.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,1.70199,1.11652,2.81851,0.49584,0,0,0,0,0,0,0
DENISON CARE CENTER,IA,51442,For profit - Limited Liability company,46,30.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.55544,1.32151,3.87695,0.43665,1,0,3,5,1,0,1
GOOD SAMARITAN SOCIETY - WAUKON,IA,52172,Non profit - Corporation,76,45.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,4,1.84309,1.41086,3.25395,0.43326,,0,0,0,0,0,0
GRUNDY CARE CENTER,IA,50638,For profit - Corporation,40,26.3,Medicare and Medicaid,N,N,,N,N,None,Yes,1,3,1,1,2.29507,0.66548,2.96055,0.60648,1,0,3,1,0,0,0
CHAUTAUQUA GUEST HOME #3,IA,50616,For profit - Corporation,65,39.6,Medicare and Medicaid,N,N,,N,N,None,Yes,4,4,4,4,2.95082,1.1811,4.13192,0.5615,0,0,2,1,0,0,0
HILLCREST HEALTH CARE CENTER,IA,51023,For profit - Corporation,64,46.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,1.82236,1.26524,3.08759,0.29583,,3,22,1,4,1,5
GOOD SAMARITAN SOCIETY - GEORGE,IA,51237,Non profit - Corporation,42,30.6,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,3,3,1.8202,1.17983,3.00003,0.42046,0,0,0,0,0,0,0
PLEASANT ACRES CARE CENTER,IA,51239,For profit - Limited Liability company,60,16,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.19221,0.4711,1.66331,0.2654,,1,16,5,2,1,3
GOOD SAMARITAN SOCIETY - NEWELL,IA,50568,Non profit - Corporation,45,,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,,,,,,,0,0,0,11,0,11
RAVENWOOD SPECIALTY CARE,IA,50702,For profit - Corporation,176,119.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.0641,0.95845,3.02255,0.40293,1,2,49,3,4,0,4
WESTVIEW ACRES CARE CENTER,IA,50144,For profit - Limited Liability company,55,36.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.09609,1.54241,3.6385,0.49003,0,1,14,0,1,0,1
PANORA SPECIALTY CARE,IA,50216,Non profit - Corporation,46,40.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,1.67999,1.4034,3.08339,0.40453,1,2,3,0,8,0,8
"OAKVIEW, INC.",IA,50621,For profit - Corporation,46,42.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.3825,0.97464,3.35714,0.32207,,0,0,0,3,0,3
CARLISLE CENTER FOR WELLNESS AND REHAB,IA,50047,For profit - Limited Liability company,80,62.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.38721,1.16641,3.55362,0.36842,1,6,22,4,7,0,7
ELMWOOD CARE CENTRE,IA,51040,For profit - Corporation,54,42.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,2.06258,1.04033,3.1029,0.33361,1,2,5,1,0,0,0
GOLDEN AGE CARE CENTER,IA,52544,For profit - Limited Liability company,58,34.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,4,2.18452,1.35276,3.53728,0.57354,0,2,7,1,1,0,1
THORNTON MANOR NURSING AND CARE CENTER,IA,52151,For profit - Corporation,48,32,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,5,2.48594,1.30588,3.79182,0.61659,0,0,0,0,0,0,0
ASPIRE OF DONNELLSON,IA,52625,For profit - Corporation,55,49.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,2.03759,1.10763,3.14521,0.40824,1,0,23,14,7,1,8
MILL-POND,IA,50021,Non profit - Corporation,60,54.2,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,5,4,4,5,3.01901,1.63912,4.65812,0.87048,0,1,0,0,0,0,0
MECHANICSVILLE SPECIALTY CARE,IA,52306,For profit - Corporation,39,32.1,Medicare and Medicaid,N,N,,N,N,None,Yes,5,5,5,2,1.96227,1.01953,2.98179,0.50863,0,0,0,0,0,0,0
"QHC FORT DODGE VILLA , LLC",IA,50501,For profit - Limited Liability company,107,52.9,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,2.07486,0.95679,3.03165,0.52493,,9,44,17,44,2,46
HOLY SPIRIT RETIREMENT HOME,IA,51103,Non profit - Church related,94,52.8,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,1,4,3,1.85019,1.5173,3.36748,0.29047,,10,23,0,3,1,4
MAPLE HEIGHTS,IA,51034,For profit - Corporation,58,39,Medicare and Medicaid,N,Y,,N,N,Both,Yes,4,3,5,4,2.39467,1.70189,4.09656,0.33061,0,0,0,0,0,0,0
REHABILITATION CENTER OF DES MOINES,IA,50316,For profit - Corporation,74,66.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,2.34544,1.17078,3.51622,0.4138,1,11,117,0,2,0,2
CLEARVIEW HOME,IA,50854,For profit - Partnership,82,63,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,4,2.4194,0.93899,3.35839,0.34881,0,0,0,1,0,0,0
STRATFORD SPECIALTY CARE,IA,50249,Non profit - Corporation,53,37.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,1.81305,1.30515,3.1182,0.69398,1,1,10,5,3,0,3
WESTWOOD SPECIALTY CARE,IA,51104,Non profit - Corporation,85,77.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,2.28812,1.10504,3.39315,0.3988,4,15,116,15,7,1,8
UNIVERSITY PARK NURSING & REHABILITATION CENTER,IA,50314,For profit - Corporation,108,91.7,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,4,1,2.06827,0.98286,3.05113,0.24765,,5,29,9,10,1,11
FLEUR HEIGHTS CENTER FOR WELLNESS AND REHAB,IA,50315,For profit - Limited Liability company,89,58.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,3,3.93007,0.77157,4.70164,0.36227,0,13,44,4,6,1,7
NORTHERN MAHASKA SPECIALTY CARE,IA,52577,Non profit - Corporation,79,60.5,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,3,1,1.66983,1.08727,2.7571,0.65109,3,4,25,0,4,1,5
CREST HAVEN CARE CENTRE,IA,50801,For profit - Limited Liability company,40,24,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,2.60053,1.28461,3.88514,0.36485,1,1,4,0,0,1,1
LIVING CENTER WEST,IA,52403,For profit - Corporation,100,70.6,Medicare and Medicaid,N,N,,N,N,None,Yes,4,4,4,3,1.89502,1.156,3.05102,0.77734,2,0,0,0,5,0,5
MONTICELLO NURSING & REHAB CEN,IA,52310,For profit - Corporation,80,52.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,4,1.9436,1.40139,3.34499,0.34533,1,2,6,0,2,0,2
BETTENDORF HEALTH CARE CENTER,IA,52722,For profit - Corporation,86,60.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.79227,0.96537,2.75764,0.35511,2,4,43,3,3,1,4
ON WITH LIFE AT GLENWOOD,IA,51534,Non profit - Corporation,32,31,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,5,3.39497,2.90699,6.30196,1.10778,1,3,0,4,9,0,9
FELLOWSHIP VILLAGE,IA,51240,Non profit - Corporation,40,31.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,4,2.57754,1.38947,3.96701,0.43198,,1,0,1,3,0,3
SUNNY KNOLL CARE CENTRE,IA,50579,For profit - Limited Liability company,38,15.1,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,1,1,2.66577,2.028,4.69377,0.59199,2,0,25,11,1,0,1
CORNING SPECIALTY CARE,IA,50841,Non profit - Corporation,40,26.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,1.83183,1.32507,3.1569,0.46059,3,3,5,0,0,0,0
SUNRISE HILL CARE CENTER,IA,50675,For profit - Corporation,76,53.6,Medicare and Medicaid,N,Y,,N,N,None,Yes,4,4,3,4,2.43058,1.35444,3.78503,0.33241,1,2,0,2,0,0,0
CRESTVIEW SPECIALTY CARE,IA,52358,Non profit - Corporation,65,56.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,1,1.88773,0.89824,2.78597,0.31788,1,0,0,0,0,0,0
ATLANTIC SPECIALTY CARE,IA,50022,For profit - Corporation,90,66.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,1.82741,0.87539,2.7028,0.30148,2,7,13,1,8,1,9
NORTH CREST LIVING CENTER,IA,51503,For profit - Limited Liability company,62,50.9,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,3,2,2.05358,1.24371,3.29729,0.19137,0,1,1,0,2,0,2
"FRIENDSHIP HAVEN, INC",IA,50501,Non profit - Corporation,155,108.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,2,5,5,2.52558,1.68561,4.21119,0.63904,1,3,1,2,4,0,4
BEDFORD SPECIALTY CARE,IA,50833,Non profit - Corporation,39,28.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,1.90303,1.29047,3.19351,0.55961,2,0,3,0,2,0,2
SOUTHERN HILLS SPECIALTY CARE,IA,50213,Non profit - Corporation,90,84.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,1.94665,1.00287,2.94952,0.1974,0,2,0,0,1,0,1
AVOCA SPECIALTY CARE,IA,51521,Non profit - Corporation,46,39,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,1.60894,1.01499,2.62393,0.28797,0,3,31,3,2,1,3
MONTEZUMA SPECIALTY CARE,IA,50171,For profit - Corporation,41,25.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,1.5123,1.25887,2.77117,0.22314,1,2,3,0,0,0,0
PLEASANT VIEW CARE CENTER,IA,51063,For profit - Corporation,80,46.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,4,5,2.80717,1.41231,4.21948,0.66125,0,0,0,0,2,0,2
NEW HAMPTON NURSING & REHAB CE,IA,50659,For profit - Corporation,56,38.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,2.15437,1.39178,3.54615,0.54744,2,2,7,1,4,0,4
PINNACLE SPECIALTY CARE,IA,50613,For profit - Corporation,100,81.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,1.87467,1.30384,3.1785,0.30692,1,0,15,1,2,0,2
CRESTVIEW ACRES,IA,52302,For profit - Corporation,100,,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,,1,,,,,,0,10,0,0,0,0
LAPORTE CITY SPECIALTY CARE,IA,50651,Non profit - Corporation,46,43.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,2,1.83871,0.983,2.82171,0.46199,0,0,0,0,1,0,1
GREAT RIVER CARE CENTER,IA,52157,For profit - Corporation,39,25.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,1.71502,1.36684,3.08186,0.41579,2,0,0,0,0,0,0
LINN HAVEN REHAB & HEALTHCARE,IA,50659,For profit - Corporation,70,44,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.75748,0.38153,2.13901,0.00066,1,0,7,0,0,0,0
ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS,IA,50644,For profit - Corporation,86,43.8,Medicare and Medicaid,N,N,,N,N,None,Yes,4,4,4,2,2.12789,1.16559,3.29348,0.41243,3,0,1,0,1,0,1
MONTROSE HEALTH CENTER,IA,52639,For profit - Corporation,46,39.8,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,4,3,2.18122,1.06858,3.2498,0.50268,0,0,2,1,4,0,4
CHARITON SPECIALTY CARE,IA,50049,For profit - Corporation,60,40.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.52435,1.25339,2.77774,0.34109,,3,26,2,1,0,1
PARKVIEW CARE CENTER,IA,52556,For profit - Individual,70,43.5,Medicare and Medicaid,N,N,,N,N,None,Yes,2,2,4,3,1.55526,1.16516,2.72042,0.40704,0,0,3,1,0,0,0
PILLAR OF CEDAR VALLEY,IA,50703,For profit - Corporation,114,131.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.43477,0.88824,2.32301,0.1574,,2,21,10,4,0,4
WEST RIDGE SPECIALTY CARE,IA,50138,Non profit - Corporation,78,71.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,1.83871,0.96203,2.80074,0.26618,0,2,9,1,2,0,2
SHELL ROCK SENIOR LIVING,IA,50670,For profit - Corporation,44,31.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,1.93697,0.89297,2.82994,0.39537,,0,12,7,3,0,3
HERITAGE SPECIALTY CARE,IA,52404,Non profit - Corporation,201,151.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,2.40852,0.94125,3.34977,0.32234,1,5,22,5,3,1,4
ACCURA HEALTHCARE OF LE MARS,IA,51031,For profit - Corporation,65,36.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,3,2.22159,1.46844,3.69003,0.58575,,2,1,1,3,0,3
FONDA SPECIALTY CARE,IA,50540,Non profit - Corporation,46,42.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,5,1,1.87713,0.78548,2.6626,0.30433,0,1,14,0,2,0,2
OAKWOOD SPECIALTY CARE,IA,52531,For profit - Corporation,54,40.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,1.7372,1.18758,2.92479,0.57123,4,4,37,1,8,2,10
LAMONI SPECIALTY CARE,IA,50140,Non profit - Corporation,43,28.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,2,2.20904,1.33652,3.54556,0.4563,0,0,3,0,2,0,2
ELDORA SPECIALTY CARE,IA,50627,For profit - Corporation,49,39.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,1.9373,1.0966,3.03391,0.30461,0,1,0,0,0,0,0
COLONIAL MANOR OF AMANA,IA,52203,For profit - Corporation,60,36.4,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,5,4,4,5,2.35466,1.2983,3.65296,0.95016,0,1,2,0,1,0,1
"ZEARING HEALTH CARE, LLC",IA,50278,For profit - Limited Liability company,40,34.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,4,2.14132,1.02542,3.16674,0.56285,0,0,2,0,1,0,1
COTTAGE GROVE PLACE,IA,52402,Non profit - Other,64,43.2,Medicare,N,Y,,N,N,Resident,Yes,4,4,4,4,2.87144,1.39118,4.26262,0.54611,2,0,5,1,1,0,1
CORRECTIONVILLE SPECIALTY CARE,IA,51016,Non profit - Corporation,39,35.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,4,1,1.9802,0.95287,2.93307,0.51889,2,2,13,0,2,1,3
"ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",IA,50225,For profit - Corporation,53,48.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,2.37151,0.82005,3.19156,0.15718,,7,10,2,6,1,7
MANOR HOUSE CARE CENTER,IA,52591,For profit - Corporation,72,45.1,Medicare and Medicaid,N,N,,N,N,None,Yes,4,4,2,3,3.20382,1.13926,4.34308,0.34859,3,0,0,0,0,0,0
BLOOMFIELD CARE CENTER,IA,52537,For profit - Corporation,91,44.4,Medicare and Medicaid,N,N,,N,N,None,Yes,2,3,1,4,2.85057,1.29665,4.14722,0.61744,3,0,0,0,1,0,1
